run_id,condition,profile_id,class_level,term,learning_style,returned_rank,returned_topic,slug_match_type,slug_matched_value,slug_similarity,curr_match_type,curr_matched_value,curr_similarity,is_hallucinated
P1_jss1_visual__r3__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,1,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r3__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,2,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r3__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,3,basic_operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P1_jss1_visual__r3__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,1,Fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r3__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,2,Numbers And Numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r3__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,3,Basic Operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P2_jss2_auditory__r1__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,1,algebraic_expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r1__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,2,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r1__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,3,percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r1__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,4,linear_equations,exact,linear_equations,1.0,borderline,Graphs of Linear Equations,0.9,False
P2_jss2_auditory__r1__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,5,angles,exact,angles,1.0,borderline,"Plane Shapes, Scale Drawing and Angles in Polygons",0.9,False
P2_jss2_auditory__r1__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,6,plane_geometry,exact,plane_geometry,1.0,none,Graphs of Linear Equations,0.35,False
P2_jss2_auditory__r1__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,1,algebraic_expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r1__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,2,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r1__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,3,percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r1__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,4,fractions,exact,fractions,1.0,none,Graphs of Linear Equations,0.4,False
P2_jss2_auditory__r1__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,5,decimals,exact,decimals,1.0,none,Directed Numbers and Algebraic Expressions,0.28,False
P2_jss2_auditory__r1__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,1,Algebraic Expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r1__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,2,Ratio And Proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r1__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,3,Percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r1__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,4,Fractions,exact,fractions,1.0,none,Graphs of Linear Equations,0.4,False
P2_jss2_auditory__r1__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,5,Decimals,exact,decimals,1.0,none,Directed Numbers and Algebraic Expressions,0.28,False
P2_jss2_auditory__r2__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,1,algebraic_expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r2__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,2,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r2__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,3,percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r2__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,4,linear_equations,exact,linear_equations,1.0,borderline,Graphs of Linear Equations,0.9,False
P2_jss2_auditory__r2__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,5,plane_geometry,exact,plane_geometry,1.0,none,Graphs of Linear Equations,0.35,False
P2_jss2_auditory__r2__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,6,angles,exact,angles,1.0,borderline,"Plane Shapes, Scale Drawing and Angles in Polygons",0.9,False
P2_jss2_auditory__r2__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,1,algebraic_expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r2__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,2,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r2__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,3,percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r2__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,4,fractions,exact,fractions,1.0,none,Graphs of Linear Equations,0.4,False
P2_jss2_auditory__r2__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,5,decimals,exact,decimals,1.0,none,Directed Numbers and Algebraic Expressions,0.28,False
P2_jss2_auditory__r2__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,1,Algebraic Expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r2__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,2,Ratio And Proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r2__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,3,Percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r2__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,4,Fractions,exact,fractions,1.0,none,Graphs of Linear Equations,0.4,False
P2_jss2_auditory__r2__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,5,Decimals,exact,decimals,1.0,none,Directed Numbers and Algebraic Expressions,0.28,False
P2_jss2_auditory__r3__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,1,algebraic_expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r3__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,2,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r3__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,3,percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r3__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,4,linear_equations,exact,linear_equations,1.0,borderline,Graphs of Linear Equations,0.9,False
P2_jss2_auditory__r3__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,5,angles,exact,angles,1.0,borderline,"Plane Shapes, Scale Drawing and Angles in Polygons",0.9,False
P2_jss2_auditory__r3__grounded,grounded,P2_jss2_auditory,JSS2,Second,auditory,6,plane_geometry,exact,plane_geometry,1.0,none,Graphs of Linear Equations,0.35,False
P2_jss2_auditory__r3__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,1,algebraic_expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r3__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,2,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r3__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,3,percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r3__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,4,fractions,exact,fractions,1.0,none,Graphs of Linear Equations,0.4,False
P2_jss2_auditory__r3__ungrounded,ungrounded,P2_jss2_auditory,JSS2,Second,auditory,5,decimals,exact,decimals,1.0,none,Directed Numbers and Algebraic Expressions,0.28,False
P2_jss2_auditory__r3__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,1,Algebraic Expressions,exact,algebraic_expressions,1.0,borderline,Directed Numbers and Algebraic Expressions,0.9,False
P2_jss2_auditory__r3__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,2,Ratio And Proportion,exact,ratio_and_proportion,1.0,none,"Angles of Elevation and Depression, and Bearings",0.412,False
P2_jss2_auditory__r3__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,3,Percentages,exact,percentages,1.0,none,Graphs of Linear Equations,0.324,False
P2_jss2_auditory__r3__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,4,Fractions,exact,fractions,1.0,none,Graphs of Linear Equations,0.4,False
P2_jss2_auditory__r3__ungrounded_readable,ungrounded_readable,P2_jss2_auditory,JSS2,Second,auditory,5,Decimals,exact,decimals,1.0,none,Directed Numbers and Algebraic Expressions,0.28,False
P3_jss3_kinesthetic__r1__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,simultaneous_equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r1__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,quadratic_equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r1__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,inequalities,exact,inequalities,1.0,none,Revision: Mensuration and Geometry,0.348,False
P3_jss3_kinesthetic__r1__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,4,polynomials,exact,polynomials,1.0,none,Revision: Algebraic Processes,0.25,False
P3_jss3_kinesthetic__r1__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,5,linear_equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P3_jss3_kinesthetic__r1__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,6,indices,exact,indices,1.0,none,Revision: Algebraic Processes,0.333,False
P3_jss3_kinesthetic__r1__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,simultaneous_equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r1__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,quadratic_equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r1__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,linear_equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P3_jss3_kinesthetic__r1__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,Simultaneous Equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r1__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,Quadratic Equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r1__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,Linear Equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P3_jss3_kinesthetic__r2__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,simultaneous_equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r2__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,quadratic_equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r2__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,inequalities,exact,inequalities,1.0,none,Revision: Mensuration and Geometry,0.348,False
P3_jss3_kinesthetic__r2__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,4,polynomials,exact,polynomials,1.0,none,Revision: Algebraic Processes,0.25,False
P3_jss3_kinesthetic__r2__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,5,linear_equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P3_jss3_kinesthetic__r2__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,6,indices,exact,indices,1.0,none,Revision: Algebraic Processes,0.333,False
P3_jss3_kinesthetic__r2__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,simultaneous_equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r2__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,quadratic_equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r2__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,linear_equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P3_jss3_kinesthetic__r2__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,Simultaneous Equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r2__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,Quadratic Equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r2__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,Linear Equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P3_jss3_kinesthetic__r3__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,simultaneous_equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r3__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,quadratic_equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r3__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,inequalities,exact,inequalities,1.0,none,Revision: Mensuration and Geometry,0.348,False
P3_jss3_kinesthetic__r3__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,4,polynomials,exact,polynomials,1.0,none,Revision: Algebraic Processes,0.25,False
P3_jss3_kinesthetic__r3__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,5,linear_equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P3_jss3_kinesthetic__r3__grounded,grounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,6,indices,exact,indices,1.0,none,Revision: Algebraic Processes,0.333,False
P3_jss3_kinesthetic__r3__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,simultaneous_equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r3__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,quadratic_equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r3__ungrounded,ungrounded,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,linear_equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P3_jss3_kinesthetic__r3__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,1,Simultaneous Equations,exact,simultaneous_equations,1.0,none,Revision: Number and Numeration,0.415,False
P3_jss3_kinesthetic__r3__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,2,Quadratic Equations,exact,quadratic_equations,1.0,none,Revision: Number and Numeration,0.36,False
P3_jss3_kinesthetic__r3__ungrounded_readable,ungrounded_readable,P3_jss3_kinesthetic,JSS3,Third,kinesthetic,3,Linear Equations,exact,linear_equations,1.0,none,Revision: Number and Numeration,0.468,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,1,sets,exact,sets,1.0,exact,Sets,1.0,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,2,logarithms,exact,logarithms,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,3,quadratic_equations,exact,quadratic_equations,1.0,none,"Simple Equations, Inequalities and Variation",0.349,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,4,indices,exact,indices,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,5,algebraic_expressions,exact,algebraic_expressions,1.0,none,"Simple Equations, Inequalities and Variation",0.246,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,6,linear_equations,exact,linear_equations,1.0,none,"Simple Equations, Inequalities and Variation",0.4,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,7,plane_geometry,exact,plane_geometry,1.0,none,Introduction to Coordinate Geometry,0.449,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,8,angles,exact,angles,1.0,none,Sets,0.4,False
P4_ss1_visual__r1__grounded,grounded,P4_ss1_visual,SS1,First,visual,9,triangles,exact,triangles,1.0,none,Sets,0.308,False
P4_ss1_visual__r1__ungrounded,ungrounded,P4_ss1_visual,SS1,First,visual,1,sets,exact,sets,1.0,exact,Sets,1.0,False
P4_ss1_visual__r1__ungrounded,ungrounded,P4_ss1_visual,SS1,First,visual,2,quadratic_equations,exact,quadratic_equations,1.0,none,"Simple Equations, Inequalities and Variation",0.349,False
P4_ss1_visual__r1__ungrounded,ungrounded,P4_ss1_visual,SS1,First,visual,3,logarithms,exact,logarithms,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r1__ungrounded,ungrounded,P4_ss1_visual,SS1,First,visual,4,indices,exact,indices,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r1__ungrounded_readable,ungrounded_readable,P4_ss1_visual,SS1,First,visual,1,Quadratic Equations,exact,quadratic_equations,1.0,none,"Simple Equations, Inequalities and Variation",0.349,False
P4_ss1_visual__r1__ungrounded_readable,ungrounded_readable,P4_ss1_visual,SS1,First,visual,2,Logarithms,exact,logarithms,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r1__ungrounded_readable,ungrounded_readable,P4_ss1_visual,SS1,First,visual,3,Sets,exact,sets,1.0,exact,Sets,1.0,False
P4_ss1_visual__r1__ungrounded_readable,ungrounded_readable,P4_ss1_visual,SS1,First,visual,4,Indices,exact,indices,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,1,sets,exact,sets,1.0,exact,Sets,1.0,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,2,logarithms,exact,logarithms,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,3,quadratic_equations,exact,quadratic_equations,1.0,none,"Simple Equations, Inequalities and Variation",0.349,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,4,indices,exact,indices,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,5,algebraic_expressions,exact,algebraic_expressions,1.0,none,"Simple Equations, Inequalities and Variation",0.246,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,6,linear_equations,exact,linear_equations,1.0,none,"Simple Equations, Inequalities and Variation",0.4,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,7,plane_geometry,exact,plane_geometry,1.0,none,Introduction to Coordinate Geometry,0.449,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,8,angles,exact,angles,1.0,none,Sets,0.4,False
P4_ss1_visual__r2__grounded,grounded,P4_ss1_visual,SS1,First,visual,9,triangles,exact,triangles,1.0,none,Sets,0.308,False
P4_ss1_visual__r2__ungrounded,ungrounded,P4_ss1_visual,SS1,First,visual,1,sets,exact,sets,1.0,exact,Sets,1.0,False
P4_ss1_visual__r2__ungrounded,ungrounded,P4_ss1_visual,SS1,First,visual,2,quadratic_equations,exact,quadratic_equations,1.0,none,"Simple Equations, Inequalities and Variation",0.349,False
P4_ss1_visual__r2__ungrounded,ungrounded,P4_ss1_visual,SS1,First,visual,3,logarithms,exact,logarithms,1.0,borderline,Indices and Logarithms,0.9,False
P4_ss1_visual__r2__ungrounded,ungrounded,P4_ss1_visual,SS1,First,visual,4,indices,exact,indices,1.0,borderline,Indices and Logarithms,0.9,False
